id,ime,dolzina,sirina,leto,uporabljenost,cena,lokacija
515308,Dufour 48,14.7,8.0,2021,Used Boat,885000,Croatia
548619,Bavaria 47,14.68,4.45,2000,Used Boat,79000,Croatia
547937,Azimut 46,14.65,4.4,2002,Used Boat,249000,Croatia
533322,Azimut 46,14.65,4.4,2002,Used Boat,225000,Croatia
514524,Princess 50,14.64,4.48,2003,Used Boat,258000,Croatia
551172,Alena  47,14.6,4.64,2002,Used Boat,149000,Croatia
547444,Hanse 460,14.6,4.79,2022,Used Boat,380000,Croatia
544700,Hanse 460,14.6,4.79,2023,Display Model,369800,Croatia
513280,Cervetti 48 Sail,14.6,8.0,2022,Used Boat,1021995,Croatia
534747,Azimut Fly 46,14.5,4.4,2001,Used Boat,248000,Croatia
544085,Bénéteau First 47.7,14.5,4.5,2001,Used Boat,110000,Croatia
507248,Delphia 47,14.48,4.48,2010,Used Boat,140000,Croatia
546387,Azimut 47 FLY - MODEL 2010,14.46,4.75,2010,Used Boat,399900,Croatia
466217,Staryacht 1670,14.44,4.2,1990,Used Boat,79700,Croatia
547447,Bavaria C45 Style,14.43,4.49,2020,Used Boat,499000,Croatia
521564,Jeanneau Sun Odyssey 479,14.43,4.49,2016,Used Boat,178000,Croatia
550055,Grand Soleil  46.3,14.42,4.4,2004,Used Boat,115000,Croatia
549303,Princess 440 Flybridge,14.4,4.2,1997,Used Boat,150000,Croatia
538997,Monachus 43 Pharos,14.4,4.2,2023,New Boat from Stock,679305,Croatia
538996,Monachus Issa 45,14.4,4.2,2023,New Boat from Stock,664125,Croatia
538994,Monachus Issa 45,14.4,4.2,2023,New Boat from Stock,698280,Croatia
533015,Monachus Issa 45 HT,14.4,4.2,2023,New Boat on Order,664125,Croatia
531706,Monachus 45 Fly,14.4,4.2,2023,New Boat on Order,698280,Croatia
531704,Monachus 43 Pharos,14.4,4.2,2023,New Boat on Order,679305,Croatia
528272,Ferretti 46 FLY,14.4,4.6,1999,Used Boat,199000,Croatia
535055,Linssen Grand Sturdy 470,14.35,4.4,2009,Used Boat,590000,Croatia
531827,Princess V45,14.35,3.99,2009,Used Boat,269000,Slovenia
517043,Ferretti YACHTS 460,14.35,4.34,2023,New Boat on Order,726600,Slovenia
502718,Bavaria 46 Cruiser,14.27,4.35,2018,Used Boat,185000,Croatia
548774,Bavaria 45 Cruiser,14.27,4.35,2012,Used Boat,159000,Croatia
547773,Bavaria 46 Cruiser,14.27,4.35,2023,Used Boat,333000,Slovenia
479570,Bavaria 46 Cruiser,14.27,4.35,2023,Used Boat,304200,Croatia
429544,Bavaria 46 Cruiser,14.27,4.35,2020,Used Boat,259488,Croatia
548279,Bavaria Cruiser 46 Style,14.22,4.35,2020,Used Boat,270000,Croatia
520242,Ferretti 450,14.2,4.3,2020,Used Boat,800000,Croatia
520241,Ferretti 450,14.2,4.3,2019,Used Boat,700000,Croatia
518820,Ferretti 450,14.2,4.3,2019,Used Boat,700000,Croatia
518819,Ferretti 450,14.2,4.2,2020,Used Boat,800000,Croatia
509293,Cranchi 47 Mediteranee,14.19,4.1,2006,Used Boat,225000,Croatia
544804,Moody 47,14.17,4.4,2002,Used Boat,230000,Croatia
524974,Dufour 460 Grand Large,14.15,4.5,2016,Used Boat,219000,Croatia
495682,Ferretti 46,14.1,4.6,2000,Used Boat,235000,Croatia
487805,Ferretti 46,14.1,4.6,2000,Used Boat,275000,Croatia
516698,Hanse 458,14.04,4.37,2023,New Boat from Stock,335161,Croatia
515898,Hanse 458,14.04,4.38,2002,Used Boat,264000,Croatia
549979,Nuova Jolly Prince 43 luxury cabin,14.0,4.0,2019,Used Boat,850000,Croatia
478574,Carbineer Motorsailer,14.0,4.0,1988,Used Boat,105000,Croatia
475424,Carbineer Motor Sailer,14.0,4.0,1988,Used Boat,105000,Croatia
331964,President 52,14.0,4.8,1989,Used Boat,170000,Croatia
549772,Lagoon 46,13.99,7.96,2021,Used Boat,725000,Croatia
548093,Lagoon 46,13.99,7.96,2021,Used Boat,725000,Croatia
539716,Lagoon 450 F,13.97,7.87,2019,Used Boat,620000,Croatia
519955,Galeon 440 FLY 2023 NEW BOAT,13.97,4.2,2023,New Boat on Order,648900,Slovenia
466280,Dellapasqua DC 13 ELITE,13.97,3.8,2006,Used Boat,195000,Croatia
550163,Hanse 455,13.96,4.38,2018,Used Boat,189900,Croatia
534016,Lagoon 450,13.96,7.78,2012,Used Boat,455000,Croatia
549584,Lagoon 450 S Lux,13.96,7.87,2018,Used Boat,490000,Croatia
548094,Lagoon 450F,13.96,7.87,2017,Used Boat,550000,Croatia
544419,Lagoon 450 S,13.96,7.78,2018,Used Boat,515000,Croatia
540456,Lagoon 450 F,13.96,7.87,2016,Used Boat,495000,Croatia
540454,Lagoon 450 S LUX,13.96,7.87,2018,Used Boat,490000,Croatia
533003,Lagoon 450 F,13.96,7.87,2019,Used Boat,590000,Croatia
523661,Lagoon 450 F,13.96,7.87,2017,Used Boat,549000,Croatia
522361,Lagoon 450 S,13.96,7.87,2018,Used Boat,495000,Croatia
495403,Lagoon 450 S,13.96,7.87,2021,Used Boat,569000,Croatia
546484,Hanse 455,13.95,4.38,2015,Used Boat,168540,Croatia
488966,Jeanneau Prestige 450,13.94,4.3,2017,Used Boat,525000,Croatia
483922,Hi-Star Marine HI STAR 47',13.94,4.63,1986,Used Boat,125000,Croatia
524233,Princess 45 FLY MKII,13.92,4.29,2007,Used Boat,349000,Croatia
527355,Princess 45 MK II,13.92,4.29,2007,Used Boat,349000,Croatia
550569,Princess 440 Fly,13.91,4.22,1995,Used Boat,189000,Croatia
548737,Princess 440,13.91,4.22,1997,Used Boat,150000,Croatia
501233,Princess 440,13.91,4.22,1996,Used Boat,170000,Croatia
550751,Rio 44 air,13.9,4.0,2007,Used Boat,159000,Slovenia
531082,Performance 1407,13.9,3.7,2007,Used Boat,180000,Croatia
262794,Dellapasqua DC 13 s,13.9,4.3,1991,Used Boat,79900,Croatia
531619,Bénéteau Swift Trawler 44,13.88,4.25,2014,Used Boat,450000,Croatia
461042,Enterprise Marine EM 43,13.87,4.86,2003,Used Boat,199500,Croatia
545122,Elan Impression 45,13.85,4.18,2017,Used Boat,170000,Croatia
540455,Elan 45 Impression,13.85,4.18,2018,Used Boat,190000,Croatia
533244,Elan Impression 45,13.85,4.18,2016,Used Boat,155000,Croatia
533165,Elan 444 Impression,13.85,4.18,2011,Used Boat,130000,Croatia
523928,Cranchi M44 HT,13.85,4.05,2018,Used Boat,550000,Slovenia
498902,Princess V 45,13.85,4.0,2009,Used Boat,345000,Croatia
495924,Performance 1407,13.85,3.61,2007,Used Boat,179000,Croatia
487760,Monachus Issa 45,13.85,4.2,2020,Used Boat,440000,Croatia
479503,Bavaria S45 HT,13.83,4.41,2017,Used Boat,420000,Croatia
552504,Cranchi M 44 HT,13.82,4.05,2019,Used Boat,585000,Slovenia
520895,Cyrus Yachts CYRUS 13.8 FLYBRIDGE,13.81,4.45,2012,Used Boat,189000,Croatia
535751,Cranchi Mediterranee 43,13.8,4.13,2008,Used Boat,172000,Croatia
531592,Pula CUSTOM BUILT,13.8,4.0,1991,Used Boat,65000,Croatia
517794,Cranchi 43,13.8,4.1,2008,Used Boat,179000,Croatia
545773,Bavaria NAUTITECH 46 OPEN,13.79,7.54,2018,Used Boat,550000,Croatia
504814,Fjord 41 XL,13.79,3.99,2023,New Boat from Stock,721103,Croatia
541348,Dufour 455 Grand Large,13.76,4.3,2008,Used Boat,150000,Croatia
538391,Enterprise Marine 43 Fly,13.76,4.22,2002,Used Boat,200000,Croatia
550208,Jeanneau Sun Odyssey 449,13.75,4.24,2017,Used Boat,229900,Croatia
545588,Astor 45 Fly 2.Besitz RAUMWUNDER !,13.75,4.25,1995,Used Boat,139000,Croatia
552225,Jeanneau Sun Odyssey 45,13.72,4.37,2006,Used Boat,125000,Croatia
543914,Leopard 45,13.72,7.35,2018,Used Boat,599000,Croatia
541173,Sea Ray 455 Sundancer,13.72,4.27,2006,Used Boat,139000,Croatia
523662,Jeanneau Sun Odyssey 45,13.72,4.37,2005,Used Boat,99000,Croatia
434103,Nautitech Catamarans 46 Fly,13.71,7.54,2017,Used Boat,495000,Croatia
463341,Selene 42 Europa,13.7,4.42,2024,New Boat from Stock,587100,Slovenia
457731,Dehler 45,13.7,3.86,2010,Used Boat,215000,Croatia
543975,Dufour 44,13.67,4.25,2004,Used Boat,95000,Croatia
547795,Van Dam Nordia 45,13.65,3.95,1974,Used Boat,115000,Croatia
534807,Majesty 44 Fly - 44,13.61,4.34,2007,Used Boat,340000,Croatia
371409,Lagoon 440 Quentas,13.61,7.7,2009,Used Boat,359000,Croatia
551233,Solaris One 44,13.6,4.18,2014,Used Boat,395000,Croatia
544304,Bavaria Virtess 420 Fly,13.6,4.22,2019,Used Boat,629000,Croatia
506867,Bali Catamarans 4.5,13.6,7.42,2017,Used Boat,530000,Croatia
549566,Myabca 45 Menorquin 160,13.59,4.3,2007,Used Boat,220000,Croatia
