id,ime,kategorija,dolzina,sirina,leto,uporabljenost,cena,lokacija
549923,Hanse 508,['Sailing Yacht'],15.55,4.75,2020,Used Boat,450000,Croatia
549226,Hanse 508,['Sailing Yacht'],15.55,4.75,2022,Used Boat,480000,Croatia
444385,Hanse 508,['Sailing Yacht'],15.55,4.75,2019,Used Boat,273000,Croatia
551421,Azimut 50 FLY - 2008,"['Flybridge', 'Motor Yacht']",15.54,4.55,2008,Used Boat,450000,Croatia
530517,Bavaria Cruiser 51,['Sailing Yacht'],15.54,4.67,2017,Used Boat,230000,Croatia
526663,Leopard 51 Powercat,['Power Catamaran'],15.54,7.64,2017,Used Boat,599000,Croatia
514691,Bavaria Cruiser 51,['Sailing Yacht'],15.54,4.67,2016,Used Boat,240000,Croatia
500160,Sea Ray 515,['Motor Yacht'],15.54,4.47,2006,Used Boat,299000,Croatia
390033,Vicenzo Calabria Italia 1981 BAGNAKA CAL,"['Classic Power Boat', 'Motor Yacht']",15.52,4.16,1981,Used Boat,120000,Croatia
496117,Azimut 50,['Motor Yacht'],15.51,4.55,2004,Used Boat,299000,Croatia
451360,Azimut 50,"['Flybridge', 'Motor Yacht']",15.51,4.55,2003,Used Boat,355000,Croatia
525008,Carnevali 155,"['Flybridge', 'Motor Yacht']",15.5,4.56,2000,Used Boat,255000,Croatia
523569,Dufour 530,['Sailing Yacht'],15.5,4.98,2021,Used Boat,520000,Croatia
493183,Sea Ray 515 Sundancer,['Motor Yacht'],15.5,4.47,2006,Used Boat,299000,Croatia
487614,Formosa 51 Ketch,"['Ketch', 'Sailing Yacht']",15.5,4.5,1986,Used Boat,140000,Croatia
239537,Princess V50,['Motor Yacht'],15.5,4.2,2003,Used Boat,199500,Croatia
541136,Formosa 51,"['Cruising Yacht', 'Daysailer', 'Deck Saloon']",15.49,4.29,1980,Used Boat,159000,Croatia
